"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","206.6797724632021","176.33100421725297","0.053466796875","0.03564453125","0.0712890625","2600","0.00023507416128019554","0.00023507416128019554","0","0.00023507416128019554","0.00023507416128019554","0_1:1","0_1:0.00038347180187170427","0_1:68","true"
"1","243.2006086324176","343.9598535552747","0.425048828125","0.84619140625","0.00390625","2600","0.00037251965614764926","0.00037251965614764926","0","0.00037251965614764926","0.00037251965614764926","1_2:1;1_0:1","1_2:0.002110851314421791;1_0:0.00038347180187170427","1_2:68;1_0:68","true"
"2","381.9440519735418","79.8883225577779","0.06005859375","0.01123046875","0.10888671875","2600","0.00015690179934265474","0.00015690179934265474","0","0.00015690179934265474","0.00015690179934265474","2_1:1;2_3:0.00128072896207726","2_1:0.002110851314421791;2_3:0.0024661309785156127","2_1:68;2_3:68","true"
"3","330.55652890901024","63.6474596311046","0.066650390625","0.02685546875","0.1064453125","2600","0.00016362809396863566","0.00016362809396863566","0","0.00016362809396863566","0.00016362809396863566","3_16:0.0016028767869636362;3_2:0.00128072896207726;3_4:0.0015221828518700575","3_16:0.0034253081672367958;3_2:0.0024661309785156127;3_4:0.0028526063487111786","3_16:68;3_2:68;3_4:68","true"
"4","128.43755859414685","58.52765224855762","0.005615234375","0.009765625","0.00146484375","2600","0.0004316281776969968","0.0004316281776969968","0","0.0004316281776969968","0.0004316281776969968","4_3:0.0015221828518700575;4_5:0.002157556608540584","4_3:0.0028526063487111786;4_5:0.005547539810235397","4_3:68;4_5:68","true"
"5","263.73018841615584","64.54117455899222","0.00341796875","0.00634765625","0.00048828125","2600","0.0001684648175647748","0.0001684648175647748","0","0.0001684648175647748","0.0001684648175647748","5_6:0.0014337895856424976;5_4:0.002157556608540584","5_6:0.005244016996180989;5_4:0.005547539810235397","5_6:68;5_4:68","true"
"6","330.9716493223954","85.46360511200615","0.004150390625","0.00439453125","0.00390625","2600","0.0001362750820581871","0.0001362750820581871","0","0.0001362750820581871","0.0001362750820581871","6_5:0.0014337895856424976;6_7:0.0012606497264963656","6_5:0.005244016996180989;6_7:0.004604288440662324","6_5:68;6_7:68","true"
"7","251.57337339684415","58.16600629019451","0.010009765625","0.01123046875","0.0087890625","2600","0.0001697462711527984","0.0001697462711527984","0","0.0001697462711527984","0.0001697462711527984","7_17:0.0014546990615144084;7_6:0.0012606497264963656;7_8:0.00593593349914423","7_17:0.0033723533873476763;7_6:0.004604288440662324;7_8:0.0046170761191564325","7_17:68;7_6:68;7_8:68","true"
"8","131.84339750782527","153.76383548304202","0.003173828125","0.005859375","0.00048828125","2600","0.00026813350435235273","0.00026813350435235273","0","0.00026813350435235273","0.00026813350435235273","8_9:0.0038948179389000914;8_7:0.00593593349914423","8_9:0.0031135902629078893;8_7:0.0046170761191564325","8_9:68;8_7:68","true"
"9","320.32729625017413","390.44218310776654","0.00732421875","0.01416015625","0.00048828125","2600","0.00008622313462589746","0.00008622313462589746","0","0.00008622313462589746","0.00008622313462589746","9_8:0.0038948179389000914;9_10:0.0025094155033154875","9_8:0.0031135902629078893;9_10:0.0018442979765324052","9_8:68;9_10:68","true"
"10","238.77679683558287","234.40124145363254","0.009033203125","0.0087890625","0.00927734375","2600","0.00045252372013822697","0.00045252372013822697","0","0.00045252372013822697","0.00045252372013822697","10_9:0.0025094155033154875;10_11:0.004816950849799523","10_9:0.0018442979765324052;10_11:0.0021666026679180994","10_9:68;10_11:68","true"
